"community_name","business_district","all_num_business_district","all_num_community","business_district_average_price","community_average_price","community_sales_num","exbination_and_adjustment_ave_exhibition_period","price_adjustment_num","price_adjustment_average"
"金地上塘道一期","",17337,13,2055.19659648111,3050.76923076923,4,3.53725475443097,1,60
"果岭小镇","昌平东关",85,6,2258.58823529412,1870,4,5.66047526185803,1,170
"青年湖东里","安定门",69,15,4667.68115942029,4157.33333333333,7,3.73071457574158,2,215
"光熙家园一期","光熙门",153,8,4033.54901960784,4885,1,2.86064432363543,1,630
"京泉馨苑东里","",17337,26,2055.19659648111,2657.69230769231,1,0.307928058141551,1,270
"天通西苑三区","天通苑",946,171,2642.09936575053,2866.37426900585,48,2.60634998696018,2,185
"地质附中","五道口",151,4,4722.84105960265,4225,1,4.74840636930325,1,230
"望兴居","望京西",223,13,4219.9865470852,3219.92307692308,1,0.461742361811152,1,130
"怡锦园","科怡路",315,19,2957.0380952381,2920.47368421053,7,2.63583368122258,1,130
"金隅美和园东区","上地",378,1,3807.7671957672,2860,1,10.0071560629733,1,670
"汇锦苑","玉泉路",311,37,2968.83279742765,3002.97297297297,10,2.46047918523113,2,200
"富锦嘉园三区","大葆台",60,6,2406.41666666667,2453,2,1.49657230692513,1,100
"融科香雪兰溪","",17337,74,2055.19659648111,1893.37837837838,10,0.771486537234039,1,230
"北京风景","南邵",85,40,2210.58823529412,1818.75,11,1.5988820922908,1,140
"建欣苑三里","大红门",190,8,4070.73544973545,4544.875,4,5.50575851840208,1,400
"北京时代广场","良乡大学城",101,6,2265.3,3108.33333333333,3,3.83688421677338,1,170
"燕保祈东家园二期","焦化厂",38,9,3216.02631578947,4537.77777777778,3,3.55287388171556,1,1000
"绿国万象都荟","卡子门",117,46,1906.83760683761,2466.30434782609,6,1.02169458353337,2,235
"天元吉第城","龙眠大道",103,13,1134.46601941748,1175.38461538462,2,0.615267339763988,1,60
"阅城国际花园怡然园","软件大道",43,14,1901.62790697674,2074.28571428571,2,1.41996421554298,1,170
"武夷商城","双龙大道",183,6,1293.06010928962,1781.66666666667,4,4.16605756914818,1,130
"春波南苑","西兴",159,14,2168.93081761006,2144.28571428571,5,3.57143355842463,2,450
"西铭苑","三坝",131,11,1971.29770992366,2036.36363636364,1,2.18197423312801,1,140
"滨兴北苑小区","滨和路",319,2,2205.48589341693,2675,1,2.00331012395245,1,270
"华元蒙卡岸","",17337,37,2055.19659648111,1157.56756756757,11,1.9708533073873,1,300
"朗诗花漫里","乔司",19,7,1295.78947368421,1312.85714285714,2,3.71695300803416,1,30
"雅仕苑","丰潭路",204,16,2105.63725490196,1853.125,4,3.18358029719666,1,240
"越秀星汇悦城","白洋",133,29,1246.16541353383,1265.86206896552,7,1.06563673835919,1,60
"中环花苑","新村路",80,2,3406.225,2490,1,8.48411846262713,1,440
"龙柏一村","龙柏新村",153,4,2691.88888888889,2250,1,5.74960932262104,1,200
"三门路485弄","殷高西路",153,5,2390.19607843137,2654,1,1.60110340488674,1,230
"祁连欣苑","祁华路",133,11,1764.58646616541,2010,1,1.72629474832805,1,160
"科苑新村","漕宝路",101,1,3740.38613861386,2160,1,21.0179086021417,1,200
"怡心苑","港城路",51,3,1864.90196078431,1746.66666666667,1,5.66912321175874,1,70
"金地未未来","五洲大道",86,11,2116.51162790698,1959.09090909091,4,0.637752011574127,1,370
"菁鸿锦庭","上海马戏城",58,6,4068.08620689655,3000,3,3.33696611042054,1,300
"知雅汇(公寓)","九亭",318,11,2051.79245283019,2056.36363636364,3,0.455201698356506,1,170
"东陆新村二街坊","杨高北路",97,10,2193.18556701031,2927,2,1.0017150723741,1,200
"临汾名城","彭浦新村",82,8,3180.60975609756,2262.5,3,3.75313216302371,1,330
"绿地云悦坊","川沙",211,3,1921.23222748815,4280,2,9.32990211644382,1,570
"新闸路1730弄","昌平路",45,1,5017.33333333333,5960,1,14.9979178181594,1,530
